region,abbreviation,order,family,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity
carrizo,,orthoptera,,,,,grasshopper,,,,
carrizo,,hemiptera,cicadellidae,,,,leafhopper,,,,
carrizo,,diptera,,,,,fly,,,,
carrizo,,coleoptera,,coccinella,septempunctata,,seven-spotted ladybird,,,exotic,not listed
carrizo,,araneae,,,,,spider,,,,
carrizo,,coleoptera,tenebrionidae,,,,darkling beetle,,,,
carrizo,,hymenoptera,,,,,ant,,,,
carrizo,,,,,,,springtail,,,,
carrizo,,mantodea,mantidae,mantis,religiosa,,praying mantis,,,exotic,not listed
carrizo,,diptera,syrphidae,,,,hoverfly,,,,
carrizo,,coleoptera,,,,,beetle,,,,
carrizo,,hymenoptera,apidae,bombus,,,bumble bee,,,,not listed
carrizo,,lepidoptera,,,,,moth,,,,
carrizo,,hymenoptera,pompilidae,pepsis,,,tarantula hawk,,,native,not listed
carrizo,,orthoptera,tettigoniidae,,,,katydid,,,,
carrizo,,diptera,tipulidae,tipula,,,cranefly,,,,not listed
carrizo,,orthoptera,gryllidae,,,,cricket,,,,
carrizo,,hymenoptera,,,,,wasp,,,,
